"vaccine","age","sex","year","event_type","seriousness","count"
"COVID","65-79 years","male",2020,"office visit","non-serious",19
"COVID","65-79 years","male",2020,"office visit","serious",1
"COVID","65-79 years","male",2021,"death","serious",1874
"COVID","65-79 years","male",2021,"ER","non-serious",2277
"COVID","65-79 years","male",2021,"ER","serious",2989
"COVID","65-79 years","male",2021,"ER / office visit","non-serious",2
"COVID","65-79 years","male",2021,"ER / office visit","serious",3
"COVID","65-79 years","male",2021,"hospitalized","serious",7111
"COVID","65-79 years","male",2021,"life threatening","serious",1483
"COVID","65-79 years","male",2021,"office visit","non-serious",6129
"COVID","65-79 years","male",2021,"office visit","serious",1770
"COVID","65-79 years","male",2021,"disability","serious",1236
"COVID","65-79 years","male",2022,"death","serious",1084
"COVID","65-79 years","male",2022,"ER","non-serious",589
"COVID","65-79 years","male",2022,"ER","serious",1203
"COVID","65-79 years","male",2022,"hospitalized","serious",5183
"COVID","65-79 years","male",2022,"life threatening","serious",377
"COVID","65-79 years","male",2022,"office visit","non-serious",2638
"COVID","65-79 years","male",2022,"office visit","serious",654
"COVID","65-79 years","male",2022,"disability","serious",443
"DTaP","18-29 years","female",1993,"ER / office visit","non-serious",1
"DTaP","18-29 years","female",1994,"ER / office visit","non-serious",1
"DTaP","18-29 years","female",1998,"ER / office visit","non-serious",1
"DTaP","18-29 years","female",2001,"ER / office visit","non-serious",1
"DTaP","18-29 years","female",2003,"ER / office visit","non-serious",2
"DTaP","18-29 years","female",2006,"ER / office visit","non-serious",2
"DTaP","18-29 years","female",2007,"ER / office visit","non-serious",11
"DTaP","18-29 years","female",2008,"ER / office visit","non-serious",11
"DTaP","18-29 years","female",2009,"ER / office visit","non-serious",10
"DTaP","18-29 years","female",2009,"ER / office visit","serious",2
"DTaP","18-29 years","female",2009,"hospitalized","serious",2
"DTaP","18-29 years","female",2009,"life threatening","serious",1
"DTaP","18-29 years","female",2010,"ER / office visit","non-serious",7
"DTaP","18-29 years","female",2011,"ER / office visit","non-serious",9
"DTaP","18-29 years","female",2011,"ER / office visit","serious",1
"DTaP","18-29 years","female",2011,"hospitalized","serious",1
"DTaP","18-29 years","female",2011,"life threatening","serious",1
"DTaP","18-29 years","female",2012,"ER / office visit","non-serious",11
"DTaP","18-29 years","female",2012,"ER / office visit","serious",2
"DTaP","18-29 years","female",2012,"hospitalized","serious",1
"DTaP","18-29 years","female",2012,"life threatening","serious",1
"DTaP","18-29 years","female",2013,"ER / office visit","non-serious",7
"DTaP","18-29 years","female",2013,"ER / office visit","serious",2
"DTaP","18-29 years","female",2013,"hospitalized","serious",1
"DTaP","18-29 years","female",2013,"life threatening","serious",1
"DTaP","18-29 years","female",2014,"ER / office visit","non-serious",3
"DTaP","18-29 years","female",2015,"ER / office visit","non-serious",3
"DTaP","18-29 years","female",2016,"ER / office visit","non-serious",3
"DTaP","18-29 years","female",2017,"ER","non-serious",1
"DTaP","18-29 years","female",2017,"ER / office visit","non-serious",1
"DTaP","18-29 years","female",2017,"office visit","non-serious",3
"DTaP","18-29 years","female",2018,"office visit","non-serious",2
"DTaP","18-29 years","female",2019,"ER","non-serious",1
"DTaP","18-29 years","female",2019,"ER","serious",1
"DTaP","18-29 years","female",2019,"hospitalized","serious",1
"DTaP","18-29 years","female",2019,"office visit","non-serious",2
"DTaP","18-29 years","female",2019,"office visit","serious",2
"DTaP","18-29 years","female",2019,"disability","serious",2
"DTaP","18-29 years","female",2020,"ER","non-serious",1
"DTaP","18-29 years","female",2020,"ER","serious",1
"DTaP","18-29 years","female",2020,"office visit","non-serious",2
"DTaP","18-29 years","female",2021,"ER","non-serious",2
"DTaP","18-29 years","female",2021,"office visit","non-serious",3
"DTaP","18-29 years","female",2021,"office visit","serious",1
"DTaP","18-29 years","female",2021,"disability","serious",1
"DTaP","18-29 years","female",2022,"hospitalized","serious",1
"DTaP","18-29 years","female",2022,"life threatening","serious",1
"DTaP","18-29 years","female",2022,"office visit","non-serious",2
"DTaP","18-29 years","male",1998,"ER / office visit","non-serious",1
"DTaP","18-29 years","male",1999,"ER / office visit","non-serious",1
"DTaP","18-29 years","male",2003,"ER / office visit","non-serious",3
"DTaP","18-29 years","male",2006,"ER / office visit","non-serious",4
"DTaP","18-29 years","male",2007,"ER / office visit","non-serious",2
"DTaP","18-29 years","male",2007,"ER / office visit","serious",1
"DTaP","18-29 years","male",2007,"hospitalized","serious",1
"DTaP","18-29 years","male",2007,"disability","serious",1
"DTaP","18-29 years","male",2009,"ER / office visit","non-serious",2
"DTaP","18-29 years","male",2010,"ER / office visit","non-serious",2
"DTaP","18-29 years","male",2010,"ER / office visit","serious",1
"DTaP","18-29 years","male",2010,"hospitalized","serious",2
"DTaP","18-29 years","male",2011,"ER / office visit","non-serious",4
"DTaP","18-29 years","male",2012,"ER / office visit","non-serious",1
"DTaP","18-29 years","male",2013,"ER / office visit","non-serious",4
"DTaP","18-29 years","male",2015,"ER / office visit","non-serious",2
"DTaP","18-29 years","male",2016,"ER / office visit","non-serious",2
"DTaP","18-29 years","male",2017,"ER","non-serious",1
"DTaP","18-29 years","male",2017,"office visit","non-serious",2
"DTaP","18-29 years","male",2018,"ER","non-serious",1
"DTaP","18-29 years","male",2018,"office visit","non-serious",1
"DTaP","18-29 years","male",2019,"ER","non-serious",1
"DTaP","18-29 years","male",2019,"office visit","non-serious",1
"DTaP","18-29 years","male",2019,"office visit","serious",1
"DTaP","18-29 years","male",2019,"disability","serious",1
"DTaP","18-29 years","male",2020,"ER","serious",1
"DTaP","18-29 years","male",2020,"disability","serious",1
"DTaP","18-29 years","male",2022,"ER","non-serious",2
"DTaP","18-29 years","male",2022,"ER","serious",1
"DTaP","18-29 years","male",2022,"hospitalized","serious",1
"DTaP","18-29 years","male",2022,"life threatening","serious",1
"DTaP","18-29 years","male",2022,"office visit","non-serious",3
"DTaP","30-39 years","female",1997,"ER / office visit","non-serious",1
"DTaP","30-39 years","female",1999,"ER / office visit","non-serious",1
"DTaP","30-39 years","female",2000,"ER / office visit","non-serious",1
"DTaP","30-39 years","female",2002,"ER / office visit","non-serious",1
"DTaP","30-39 years","female",2003,"ER / office visit","non-serious",2
"DTaP","30-39 years","female",2006,"ER / office visit","non-serious",1
"DTaP","30-39 years","female",2007,"ER / office visit","non-serious",9
"DTaP","30-39 years","female",2008,"ER / office visit","non-serious",8
"DTaP","30-39 years","female",2009,"ER / office visit","non-serious",5
"DTaP","30-39 years","female",2010,"ER / office visit","non-serious",8
"DTaP","30-39 years","female",2010,"hospitalized","serious",1
"DTaP","30-39 years","female",2011,"ER / office visit","non-serious",4
"DTaP","30-39 years","female",2012,"ER / office visit","non-serious",16
"DTaP","30-39 years","female",2013,"ER / office visit","non-serious",9
"DTaP","30-39 years","female",2014,"ER / office visit","non-serious",8
"DTaP","30-39 years","female",2014,"ER / office visit","serious",1
"DTaP","30-39 years","female",2014,"disability","serious",1
"DTaP","30-39 years","female",2015,"ER / office visit","non-serious",5
"DTaP","30-39 years","female",2015,"hospitalized","serious",1
"DTaP","30-39 years","female",2015,"disability","serious",1
"DTaP","30-39 years","female",2016,"ER / office visit","non-serious",9
"DTaP","30-39 years","female",2017,"ER","non-serious",1
"DTaP","30-39 years","female",2017,"ER / office visit","non-serious",2
"DTaP","30-39 years","female",2017,"hospitalized","serious",1
"DTaP","30-39 years","female",2017,"office visit","non-serious",2
"DTaP","30-39 years","female",2017,"office visit","serious",1
"DTaP","30-39 years","female",2018,"hospitalized","serious",1
"DTaP","30-39 years","female",2018,"office visit","non-serious",3
"DTaP","30-39 years","female",2019,"ER","non-serious",1
"DTaP","30-39 years","female",2019,"office visit","non-serious",2
"DTaP","30-39 years","female",2019,"office visit","serious",2
"DTaP","30-39 years","female",2019,"disability","serious",3
"DTaP","30-39 years","female",2020,"ER","serious",3
"DTaP","30-39 years","female",2020,"hospitalized","serious",4
"DTaP","30-39 years","female",2020,"life threatening","serious",2
"DTaP","30-39 years","female",2020,"office visit","non-serious",1
"DTaP","30-39 years","female",2020,"office visit","serious",2
"DTaP","30-39 years","female",2020,"disability","serious",2
"DTaP","30-39 years","female",2021,"ER","non-serious",3
"DTaP","30-39 years","female",2021,"hospitalized","serious",1
"DTaP","30-39 years","female",2021,"office visit","non-serious",8
"DTaP","30-39 years","female",2021,"office visit","serious",2
"DTaP","30-39 years","female",2021,"disability","serious",2
"DTaP","30-39 years","female",2022,"ER","non-serious",1
"DTaP","30-39 years","female",2022,"ER","serious",1
"DTaP","30-39 years","female",2022,"hospitalized","serious",1
"DTaP","30-39 years","female",2022,"life threatening","serious",1
"DTaP","30-39 years","female",2022,"office visit","non-serious",4
"DTaP","30-39 years","female",2022,"office visit","serious",1
"DTaP","30-39 years","female",2022,"disability","serious",1
"DTaP","30-39 years","male",2001,"ER / office visit","non-serious",2
"DTaP","30-39 years","male",2006,"ER / office visit","non-serious",2
"DTaP","30-39 years","male",2007,"ER / office visit","non-serious",1
"DTaP","30-39 years","male",2007,"ER / office visit","serious",1
"DTaP","30-39 years","male",2007,"hospitalized","serious",1
"DTaP","30-39 years","male",2008,"ER / office visit","non-serious",1
"DTaP","30-39 years","male",2010,"ER / office visit","non-serious",4
"DTaP","30-39 years","male",2010,"ER / office visit","serious",2
"DTaP","30-39 years","male",2010,"hospitalized","serious",2
"DTaP","30-39 years","male",2010,"life threatening","serious",1
"DTaP","30-39 years","male",2011,"ER / office visit","non-serious",4
"DTaP","30-39 years","male",2011,"ER / office visit","serious",1
"DTaP","30-39 years","male",2011,"hospitalized","serious",1
"DTaP","30-39 years","male",2011,"life threatening","serious",1
"DTaP","30-39 years","male",2012,"ER / office visit","non-serious",2
"DTaP","30-39 years","male",2012,"hospitalized","serious",1
"DTaP","30-39 years","male",2013,"ER / office visit","non-serious",1
"DTaP","30-39 years","male",2013,"ER / office visit","serious",1
"DTaP","30-39 years","male",2013,"hospitalized","serious",1
"DTaP","30-39 years","male",2014,"ER / office visit","non-serious",1
"DTaP","30-39 years","male",2015,"ER / office visit","non-serious",4
"DTaP","30-39 years","male",2016,"ER / office visit","non-serious",1
"DTaP","30-39 years","male",2017,"office visit","non-serious",1
"DTaP","30-39 years","male",2021,"ER","non-serious",1
"DTaP","30-39 years","male",2021,"office visit","non-serious",1
"DTaP","30-39 years","male",2022,"ER","non-serious",1
"DTaP","30-39 years","male",2022,"office visit","non-serious",2
"DTaP","40-49 years","female",2001,"ER / office visit","non-serious",2
"DTaP","40-49 years","female",2002,"ER / office visit","non-serious",1
"DTaP","40-49 years","female",2003,"ER / office visit","non-serious",2
"DTaP","40-49 years","female",2004,"ER / office visit","non-serious",1
"DTaP","40-49 years","female",2006,"ER / office visit","non-serious",3
"DTaP","40-49 years","female",2007,"ER / office visit","non-serious",8
"DTaP","40-49 years","female",2007,"ER / office visit","serious",1
"DTaP","40-49 years","female",2007,"disability","serious",1
"DTaP","40-49 years","female",2008,"ER / office visit","non-serious",8
"DTaP","40-49 years","female",2009,"ER / office visit","non-serious",3
"DTaP","40-49 years","female",2010,"ER / office visit","non-serious",6
"DTaP","40-49 years","female",2011,"ER / office visit","non-serious",11
"DTaP","40-49 years","female",2011,"ER / office visit","serious",1
"DTaP","40-49 years","female",2011,"disability","serious",1
"DTaP","40-49 years","female",2012,"ER / office visit","non-serious",8
"DTaP","40-49 years","female",2012,"ER / office visit","serious",1
"DTaP","40-49 years","female",2012,"hospitalized","serious",1
"DTaP","40-49 years","female",2013,"ER / office visit","non-serious",5
"DTaP","40-49 years","female",2014,"ER / office visit","non-serious",1
"DTaP","40-49 years","female",2015,"ER / office visit","non-serious",6
"DTaP","40-49 years","female",2016,"ER / office visit","non-serious",4
"DTaP","40-49 years","female",2017,"ER / office visit","non-serious",3
"DTaP","40-49 years","female",2017,"office visit","non-serious",1
"DTaP","40-49 years","female",2018,"ER","serious",1
"DTaP","40-49 years","female",2018,"hospitalized","serious",1
"DTaP","40-49 years","female",2018,"office visit","non-serious",5
"DTaP","40-49 years","female",2018,"office visit","serious",2
"DTaP","40-49 years","female",2018,"disability","serious",2
"DTaP","40-49 years","female",2019,"office visit","non-serious",1
"DTaP","40-49 years","female",2020,"ER","non-serious",1
"DTaP","40-49 years","female",2021,"ER","serious",1
"DTaP","40-49 years","female",2021,"life threatening","serious",1
"DTaP","40-49 years","female",2021,"office visit","non-serious",3
"DTaP","40-49 years","female",2021,"office visit","serious",2
"DTaP","40-49 years","female",2021,"disability","serious",2
"DTaP","40-49 years","female",2022,"office visit","non-serious",2
"DTaP","40-49 years","male",2005,"ER / office visit","non-serious",1
"DTaP","40-49 years","male",2008,"ER / office visit","non-serious",2
"DTaP","40-49 years","male",2008,"ER / office visit","serious",1
"DTaP","40-49 years","male",2008,"hospitalized","serious",1
"DTaP","40-49 years","male",2009,"ER / office visit","non-serious",1
"DTaP","40-49 years","male",2010,"ER / office visit","non-serious",4
"DTaP","40-49 years","male",2011,"ER / office visit","non-serious",6
"DTaP","40-49 years","male",2011,"ER / office visit","serious",1
"DTaP","40-49 years","male",2011,"hospitalized","serious",1
"DTaP","40-49 years","male",2012,"ER / office visit","non-serious",3
"DTaP","40-49 years","male",2014,"ER / office visit","non-serious",2
